"country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region"
"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2020,15.656,9.216,14.55,97,92,98,"Urban, Urban",262839,50.391364,-4.1363245,1,"Plymouth","South West"
"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2020,18.241,9.394,19.129,92,15,57,"Urban, Urban",214692,50.8135745,-1.0820705,1,"Portsmouth","South East"
"United Kingdom of Great Britain and Northern Ireland","Preston/GBR",2020,13.215,7.36,17.843,99,99,91,"Urban",328158,53.76559,-2.680353,1,"Preston","North West"
"United Kingdom of Great Britain and Northern Ireland","Southend On Sea/GBR",2013,NA,10.637,20.28,NA,88,95,"Urban",312328,51.544204,0.678405333,1,"Southend On Sea","East of England"
"United Kingdom of Great Britain and Northern Ireland","Reading/GBR",2020,17.259,8.491,16.668,95,93,94,"Urban, Urban",160337,51.453993,-0.9422245,1,"Reading","South East"
"United Kingdom of Great Britain and Northern Ireland","Salford/GBR",2020,14.204,8.329,20.361,100,100,100,"Urban",262697,53.48481,-2.334139,1,"Salford","North West"
"United Kingdom of Great Britain and Northern Ireland","Sheffield/GBR",2020,14.433,8.762,23.866,100,98,95,"Urban, Urban, Urban",730158,53.39805067,-1.44335,1,"Sheffield","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2013,NA,9.076,15.695,NA,91,84,"Urban",341366,54.88360667,-1.406885333,1,"Sunderland","North East"
"United Kingdom of Great Britain and Northern Ireland","Southampton/GBR",2020,16.147,8.993,24.821,95,99,89,"Urban, Urban",252872,50.9142025,-1.429631,1,"Southampton","South East"
"United Kingdom of Great Britain and Northern Ireland","Southend On Sea/GBR",2020,13.38,8.47,14.054,100,100,99,"Urban",312328,51.544206,0.678408,1,"Southend On Sea","East of England"
"United Kingdom of Great Britain and Northern Ireland","Stockton On Tees/GBR",2020,13.935,8.203,10.78,94,92,99,"Urban, Urban",197419,54.541243,-1.3372235,1,"Stockton On Tees","North East"
"United Kingdom of Great Britain and Northern Ireland","Stoke On Trent/GBR",2020,14.917,7.432,26.313,96,97,95,"Urban, Urban",386013,53.004323,-2.1435155,1,"Stoke On Trent","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Sunderland/GBR",2020,10.887,6.414,12.723,100,100,83,"Urban, Urban",341366,54.901,-1.4076345,1,"Sunderland","North East"
"United Kingdom of Great Britain and Northern Ireland","Swansea/GBR",2020,18.286,7.917,17.619,96,86,94,"Urban",311408,51.632696,-3.947374,1,"Swansea","Wales"
"United Kingdom of Great Britain and Northern Ireland","Thurrock/GBR",2020,17.642,11.557,20.241,88,97,99,"Urban, Urban",175531,51.4976185,0.3787585,1,"Thurrock","East of England"
"United Kingdom of Great Britain and Northern Ireland","Warwick/GBR",2020,11.228,6.927,12.831,100,100,98,"Urban, Urban",144909,52.291847,-1.538015,1,"Warwick","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2013,NA,12.809,24.568,NA,NA,98,NA,305645,53.54914,-2.638139,1,"Wigan","North West"
"United Kingdom of Great Britain and Northern Ireland","Wigan/GBR",2020,13.052,7.984,15.412,100,100,100,"Urban",330712,53.54914,-2.638139,1,"Wigan","North West"
"United Kingdom of Great Britain and Northern Ireland","Wirral/GBR",2020,11.485,7.087,14.307,99,99,91,"Urban, Urban",324336,53.3806905,-3.023868,1,"Wirral","North West"
"United Kingdom of Great Britain and Northern Ireland","Aberdeen/GBR",2014,14.538,10.204,34.163,80,87,93,"Urban, Urban",228180,57.151,-2.1004,1,"Aberdeen","NA"
"United Kingdom of Great Britain and Northern Ireland","Alfriston/GBR",2014,NA,NA,7.521,NA,NA,65,"Rural",NA,50.7937,0.1813,1,"Alfriston","South East"
"United Kingdom of Great Britain and Northern Ireland","Armagh/GBR",2014,20.683,NA,28.408,39,NA,72,"Urban",NA,54.3537,-6.6546,1,"Armagh","NA"
"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2014,NA,NA,19.176,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Barnstaple/GBR",2014,16.012,9.081,NA,91,90,NA,"Urban",NA,51.0748,-4.0419,1,"Barnstaple","South West"
"United Kingdom of Great Britain and Northern Ireland","Bath and North East Somerset/GBR",2014,NA,NA,57.337,NA,NA,99,"Urban",190392,51.3911,-2.3542,1,"Bath and North East Somerset","South West"
"United Kingdom of Great Britain and Northern Ireland","Blackburn With Darwen/GBR",2014,NA,NA,23.621,NA,NA,42,"Urban, Urban",148857,53.73165,-2.46825,1,"Blackburn With Darwen","North West"
"United Kingdom of Great Britain and Northern Ireland","Blackpool/GBR",2014,NA,10.295,16.183,NA,68,97,"Urban",250412,53.8049,-3.0072,1,"Blackpool","North West"
"United Kingdom of Great Britain and Northern Ireland","Bournemouth/GBR",2014,NA,8.169,13.224,NA,85,86,"Urban",505687,50.7396,-1.8267,1,"Bournemouth","South West"
"United Kingdom of Great Britain and Northern Ireland","Brighton/GBR",2014,NA,9.56,NA,NA,98,NA,"Urban",353070,50.8408,-0.1476,1,"Brighton","South East"
"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2014,16.865,13.147,28.172,93,58,94,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West"
"United Kingdom of Great Britain and Northern Ireland","Cambridge/GBR",2014,NA,NA,38.624,NA,NA,93,"Urban",125339,52.2024,0.1245,1,"Cambridge","East of England"
"United Kingdom of Great Britain and Northern Ireland","Canterbury/GBR",2014,NA,NA,12.118,NA,NA,99,"Urban",NA,51.274,1.0981,1,"Canterbury","South East"
"United Kingdom of Great Britain and Northern Ireland","Cardiff/GBR",2014,15.918,11.649,24.799,94,96,98,"Urban",477627,51.4818,-3.1763,1,"Cardiff","Wales"
"United Kingdom of Great Britain and Northern Ireland","Carlisle/GBR",2014,15.778,11.324,26.92,73,76,79,"Urban",108331,54.8948,-2.9453,1,"Carlisle","North West"
"United Kingdom of Great Britain and Northern Ireland","Chesterfield/GBR",2014,18.651,12.737,24.934,66,66,64,"Urban, Urban",104604,53.23115,-1.44525,1,"Chesterfield","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2014,NA,12.068,21.043,NA,44,45,"Urban, Urban",363467,52.403,-1.5399,1,"Coventry","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Derry And Strabane/GBR",2014,14.561,11.967,14.448,89,92,98,"Urban",150588,55.0012,-7.3291,1,"Derry And Strabane","NA"
"United Kingdom of Great Britain and Northern Ireland","Dumfries/GBR",2014,NA,NA,30.493,NA,NA,99,"Urban",NA,55.07,-3.6142,1,"Dumfries","NA"
"United Kingdom of Great Britain and Northern Ireland","Eastbourne/GBR",2014,19.175,12.235,12.119,76,76,81,"Urban",103206,50.8058,0.2716,1,"Eastbourne","South East"
"United Kingdom of Great Britain and Northern Ireland","Edinburgh/GBR",2014,12.82,9.102,19.133,70,66,72,"Urban",536775,55.9456,-3.1822,1,"Edinburgh","NA"
"United Kingdom of Great Britain and Northern Ireland","Exeter/GBR",2014,NA,NA,30.504,NA,NA,78,"Urban",129672,50.7251,-3.5325,1,"Exeter","South West"
"United Kingdom of Great Britain and Northern Ireland","Highland/GBR",2014,10.854,5.864,21.02,98,95,99,"Urban",NA,57.4813,-4.2415,1,"Highland","NA"
"United Kingdom of Great Britain and Northern Ireland","Kingston Upon Hull/GBR",2014,14.904,12.352,25.731,84,95,98,"Urban",320825,53.7488,-0.3412,1,"Kingston Upon Hull","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Leeds/GBR",2014,20.353,13.69,41.674,89,96,98,"Urban, Urban",787020,53.8119,-1.56145,1,"Leeds","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Leicester/GBR",2014,NA,13.307,26.912,NA,96,95,"Urban",552178,52.6198,-1.1273,1,"Leicester","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Lincoln/GBR",2014,NA,NA,38.332,NA,NA,98,"Urban",98739,53.2214,-0.5342,1,"Lincoln","East Midlands"
"United Kingdom of Great Britain and Northern Ireland","Liverpool/GBR",2014,14.468,9.591,26.548,86,77,82,"Urban, Urban, Urban",901708,53.3887,-2.943166667,1,"Liverpool","North West"
"United Kingdom of Great Britain and Northern Ireland","London/GBR",2014,23.916,13.977,44.931,69,86,87,"Urban, Suburban, Suburban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban, Urban",9304016,51.51042941,-0.176058824,1,"London","London"
"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2014,19.49,14.239,19.834,95,88,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East"
"United Kingdom of Great Britain and Northern Ireland","Newport/GBR",2014,16.089,12.021,21.682,85,95,95,"Urban",316371,51.6012,-2.9773,1,"Newport","Wales"
"United Kingdom of Great Britain and Northern Ireland","Norwich/GBR",2014,15.572,12.017,13.783,92,88,99,"Urban",140745,52.6142,1.302,1,"Norwich","East of England"
"United Kingdom of Great Britain and Northern Ireland","Oxford/GBR",2014,15.342,9.609,34.39,36,73,98,"Urban, Urban",154455,51.74825,-1.2589,1,"Oxford","South East"
"United Kingdom of Great Britain and Northern Ireland","Plymouth/GBR",2014,17.435,11.73,22.341,90,75,99,"Urban",263085,50.3717,-4.1424,1,"Plymouth","South West"
"United Kingdom of Great Britain and Northern Ireland","Portsmouth/GBR",2014,18.474,14.145,20.222,59,92,74,"Urban",542040,50.8288,-1.0686,1,"Portsmouth","South East"
"United Kingdom of Great Britain and Northern Ireland","Preston/GBR",2014,NA,12.122,26.535,NA,78,87,"Urban",328158,53.7656,-2.6804,1,"Preston","North West"
